"ident" "Y1" "Y2" "X1" "X2" "X3"
"1" 1 4 3 0 2 2
"2" 1 4 3 1 0 2
"3" 1 1 1 0 1 1
"4" 1 1 1 0 0 1
"5" 1 3 2 1 0 3
"6" 1 2 2 1 2 1
"7" 1 4 3 0 2 3
"8" 1 3 3 1 2 3
"9" 1 2 1 1 2 3
"10" 1 4 3 1 2 2
"11" 1 1 1 1 0 0
"12" 1 2 1 0 0 2
"13" 1 1 1 0 0 0
"14" 1 4 3 0 2 0
"15" 1 2 2 1 1 2
"16" 1 1 1 1 2 2
"17" 1 2 2 0 0 0
"18" 1 1 1 0 0 0
"19" 1 4 3 1 2 2
"20" 1 4 3 1 2 3
"21" 1 3 2 0 0 3
"22" 1 3 2 1 1 0
"23" 1 3 3 1 1 1
"24" 1 4 3 1 1 0
"25" 1 2 2 0 1 0
"26" 1 4 3 0 2 2
"27" 1 1 1 0 1 0
"28" 1 1 1 0 0 0
"29" 1 3 3 1 2 0
"30" 1 3 3 1 2 2
"31" 1 4 3 1 2 3
"32" 1 3 2 0 0 2
"33" 1 4 3 0 2 3
"34" 1 2 1 0 0 1
"35" 1 2 1 1 0 2
"36" 1 4 3 1 2 3
"37" 1 1 1 0 0 0
"38" 1 2 1 0 1 2
"39" 1 4 3 1 2 3
"40" 1 4 3 0 1 2
"41" 1 3 2 0 0 1
"42" 1 3 2 1 1 2
"43" 1 3 3 0 0 2
"44" 1 1 1 0 1 0
"45" 1 2 2 1 0 2
"46" 1 2 2 1 0 0
"47" 1 1 1 1 2 1
"48" 1 2 2 0 1 1
"49" 1 3 2 0 0 0
"50" 1 2 2 1 1 2
"51" 1 3 2 0 2 2
"52" 1 1 1 0 1 0
"53" 1 3 2 0 1 3
"54" 1 2 2 0 0 0
"55" 1 4 3 1 2 1
"56" 1 4 3 1 2 1
"57" 1 3 3 1 0 3
"58" 1 4 3 1 0 2
"59" 1 2 1 1 1 0
"60" 1 2 1 1 0 1
"61" 1 4 3 1 2 0
"62" 1 2 2 0 1 1
"63" 1 4 3 1 2 1
"64" 1 4 3 1 2 2
"65" 1 1 1 1 1 2
"66" 1 4 3 0 2 0
"67" 1 2 2 1 0 3
"68" 1 1 1 1 1 0
"69" 1 1 1 0 1 1
"70" 1 2 1 0 1 0
"71" 1 2 2 0 1 3
"72" 1 1 1 0 0 1
"73" 1 1 1 0 1 0
"74" 1 1 1 0 0 1
"75" 1 2 2 1 0 3
"76" 1 3 2 1 2 2
"77" 1 4 3 1 2 3
"78" 1 4 3 0 2 2
"79" 1 4 3 1 1 3
"80" 1 4 3 0 2 2
"81" 1 3 2 1 2 3
"82" 1 3 2 1 0 3
"83" 1 4 3 1 0 3
"84" 1 1 1 0 1 0
"85" 1 4 3 1 2 3
"86" 1 3 3 1 1 1
"87" 1 3 2 0 0 2
"88" 1 3 3 1 1 0
"89" 1 4 3 1 2 2
"90" 1 2 1 0 1 2
"91" 1 1 1 0 2 0
"92" 1 4 3 1 1 3
"93" 1 4 3 1 2 3
"94" 1 2 2 0 1 0
"95" 1 1 1 0 0 2
"96" 1 1 1 1 1 3
"97" 1 2 2 1 2 0
"98" 1 2 1 0 1 0
"99" 1 2 1 0 0 0
"100" 1 2 2 1 2 0
"101" 1 4 3 1 2 2
"102" 1 1 1 0 2 1
"103" 1 2 2 0 1 2
"104" 1 1 1 1 0 2
"105" 1 2 2 0 2 2
"106" 1 2 2 1 0 2
"107" 1 2 2 1 2 2
"108" 1 2 2 1 0 0
"109" 1 2 1 0 1 1
"110" 1 1 1 1 0 0
"111" 1 3 3 0 2 0
"112" 1 3 2 0 0 2
"113" 1 3 2 0 1 1
"114" 1 3 2 0 0 3
"115" 1 2 1 0 0 0
"116" 1 1 1 0 1 0
"117" 1 1 1 1 1 3
"118" 1 2 1 0 2 2
"119" 1 3 3 0 2 1
"120" 1 4 3 1 2 3
"121" 1 1 1 0 0 1
"122" 1 1 1 0 0 1
"123" 1 1 1 0 1 0
"124" 1 4 3 0 1 2
"125" 1 4 3 1 2 3
"126" 1 2 2 1 1 3
"127" 1 1 1 0 2 2
"128" 1 4 3 0 2 3
"129" 1 3 2 1 2 3
"130" 1 4 3 0 2 2
"131" 1 1 1 1 1 0
"132" 1 2 2 1 1 0
"133" 1 1 1 0 2 1
"134" 1 3 2 0 1 3
"135" 1 2 2 0 1 1
"136" 1 4 3 1 2 1
"137" 1 4 3 1 1 1
"138" 1 1 1 0 0 1
"139" 1 2 2 1 2 2
"140" 1 3 2 1 0 3
"141" 1 1 1 1 1 0
"142" 1 4 3 1 2 3
"143" 1 1 1 0 0 1
"144" 1 2 2 1 0 1
"145" 1 2 2 1 0 1
"146" 1 1 1 1 0 2
"147" 1 1 1 0 2 0
"148" 1 3 2 0 0 3
"149" 1 1 1 0 1 0
"150" 1 4 3 1 1 3
"151" 1 3 3 0 0 1
"152" 1 1 1 0 0 1
"153" 1 1 1 0 0 3
"154" 1 2 2 0 1 3
"155" 1 4 3 0 0 3
"156" 1 1 1 0 1 1
"157" 1 1 1 0 1 1
"158" 1 1 1 0 1 0
"159" 1 1 1 1 0 2
"160" 1 2 2 1 2 0
"161" 1 2 2 0 2 0
"162" 1 1 1 0 1 0
"163" 1 2 1 0 1 1
"164" 1 1 1 0 0 1
"165" 1 4 3 1 2 2
"166" 1 2 2 0 1 1
"167" 1 1 1 0 2 0
"168" 1 4 3 1 2 3
"169" 1 2 2 0 1 0
"170" 1 1 1 1 2 0
"171" 1 2 1 1 0 1
"172" 1 3 3 1 1 3
"173" 1 1 1 1 0 0
"174" 1 1 1 0 0 0
"175" 1 3 2 0 0 1
"176" 1 4 3 1 1 3
"177" 1 1 1 0 1 2
"178" 1 3 2 1 2 1
"179" 1 1 1 1 2 0
"180" 1 4 3 1 1 3
"181" 1 3 2 1 2 1
"182" 1 4 3 0 2 2
"183" 1 2 2 0 0 1
"184" 1 2 2 1 2 0
"185" 1 4 3 1 1 1
"186" 1 4 3 1 2 2
"187" 1 4 3 1 2 3
"188" 1 2 2 1 2 0
"189" 1 4 3 1 1 3
"190" 1 4 3 1 2 1
"191" 1 2 2 0 1 3
"192" 1 3 3 1 1 2
"193" 1 3 2 1 2 3
"194" 1 1 1 1 1 1
"195" 1 4 3 1 1 3
"196" 1 1 1 0 0 1
"197" 1 2 2 0 2 2
"198" 1 1 1 0 0 0
"199" 1 2 2 0 1 2
"200" 1 1 1 0 1 0
"NA" NA NA NA NA NA NA
"NA.1" NA NA NA NA NA NA
"NA.2" NA NA NA NA NA NA
"NA.3" NA NA NA NA NA NA
"NA.4" NA NA NA NA NA NA
"NA.5" NA NA NA NA NA NA
"NA.6" NA NA NA NA NA NA
"NA.7" NA NA NA NA NA NA
"NA.8" NA NA NA NA NA NA
"NA.9" NA NA NA NA NA NA
"NA.10" NA NA NA NA NA NA
"NA.11" NA NA NA NA NA NA
"NA.12" NA NA NA NA NA NA
"NA.13" NA NA NA NA NA NA
"NA.14" NA NA NA NA NA NA
"NA.15" NA NA NA NA NA NA
"NA.16" NA NA NA NA NA NA
"NA.17" NA NA NA NA NA NA
"NA.18" NA NA NA NA NA NA
"NA.19" NA NA NA NA NA NA
"NA.20" NA NA NA NA NA NA
"NA.21" NA NA NA NA NA NA
"NA.22" NA NA NA NA NA NA
"NA.23" NA NA NA NA NA NA
"NA.24" NA NA NA NA NA NA
"NA.25" NA NA NA NA NA NA
"NA.26" NA NA NA NA NA NA
"NA.27" NA NA NA NA NA NA
"NA.28" NA NA NA NA NA NA
"NA.29" NA NA NA NA NA NA
"NA.30" NA NA NA NA NA NA
"NA.31" NA NA NA NA NA NA
"NA.32" NA NA NA NA NA NA
"NA.33" NA NA NA NA NA NA
"NA.34" NA NA NA NA NA NA
"NA.35" NA NA NA NA NA NA
"NA.36" NA NA NA NA NA NA
"NA.37" NA NA NA NA NA NA
"NA.38" NA NA NA NA NA NA
"NA.39" NA NA NA NA NA NA
"NA.40" NA NA NA NA NA NA
"NA.41" NA NA NA NA NA NA
"NA.42" NA NA NA NA NA NA
"NA.43" NA NA NA NA NA NA
"NA.44" NA NA NA NA NA NA
"NA.45" NA NA NA NA NA NA
"NA.46" NA NA NA NA NA NA
"NA.47" NA NA NA NA NA NA
"NA.48" NA NA NA NA NA NA
"NA.49" NA NA NA NA NA NA
"NA.50" NA NA NA NA NA NA
"NA.51" NA NA NA NA NA NA
"NA.52" NA NA NA NA NA NA
"NA.53" NA NA NA NA NA NA
"NA.54" NA NA NA NA NA NA
"NA.55" NA NA NA NA NA NA
"NA.56" NA NA NA NA NA NA
"NA.57" NA NA NA NA NA NA
"NA.58" NA NA NA NA NA NA
"NA.59" NA NA NA NA NA NA
"NA.60" NA NA NA NA NA NA
"NA.61" NA NA NA NA NA NA
"NA.62" NA NA NA NA NA NA
"NA.63" NA NA NA NA NA NA
"NA.64" NA NA NA NA NA NA
"NA.65" NA NA NA NA NA NA
"NA.66" NA NA NA NA NA NA
"NA.67" NA NA NA NA NA NA
"NA.68" NA NA NA NA NA NA
"NA.69" NA NA NA NA NA NA
"NA.70" NA NA NA NA NA NA
"NA.71" NA NA NA NA NA NA
"NA.72" NA NA NA NA NA NA
"NA.73" NA NA NA NA NA NA
"NA.74" NA NA NA NA NA NA
"NA.75" NA NA NA NA NA NA
"NA.76" NA NA NA NA NA NA
"NA.77" NA NA NA NA NA NA
"NA.78" NA NA NA NA NA NA
"NA.79" NA NA NA NA NA NA
"NA.80" NA NA NA NA NA NA
"NA.81" NA NA NA NA NA NA
"NA.82" NA NA NA NA NA NA
"NA.83" NA NA NA NA NA NA
"NA.84" NA NA NA NA NA NA
"NA.85" NA NA NA NA NA NA
"NA.86" NA NA NA NA NA NA
"NA.87" NA NA NA NA NA NA
"NA.88" NA NA NA NA NA NA
"NA.89" NA NA NA NA NA NA
"NA.90" NA NA NA NA NA NA
"NA.91" NA NA NA NA NA NA
"NA.92" NA NA NA NA NA NA
"NA.93" NA NA NA NA NA NA
"NA.94" NA NA NA NA NA NA
"NA.95" NA NA NA NA NA NA
"NA.96" NA NA NA NA NA NA
"NA.97" NA NA NA NA NA NA
"NA.98" NA NA NA NA NA NA
"NA.99" NA NA NA NA NA NA
"NA.100" NA NA NA NA NA NA
"NA.101" NA NA NA NA NA NA
"NA.102" NA NA NA NA NA NA
"NA.103" NA NA NA NA NA NA
"NA.104" NA NA NA NA NA NA
"NA.105" NA NA NA NA NA NA
"NA.106" NA NA NA NA NA NA
"NA.107" NA NA NA NA NA NA
"NA.108" NA NA NA NA NA NA
"NA.109" NA NA NA NA NA NA
"NA.110" NA NA NA NA NA NA
"NA.111" NA NA NA NA NA NA
"NA.112" NA NA NA NA NA NA
"NA.113" NA NA NA NA NA NA
"NA.114" NA NA NA NA NA NA
"NA.115" NA NA NA NA NA NA
"NA.116" NA NA NA NA NA NA
"NA.117" NA NA NA NA NA NA
